Level,Message,Timestamp
INFO,"Mapping Order,OrderLinkId:f859f57a-f92a-4f49-a43c-7cbee82971ec,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:37:54
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:37:54
INFO,"Mapping Order,OrderLinkId:5ac4c638-3009-4ec1-ba1f-dffa5109438b,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:37:55
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:37:55
INFO,"Mapping Trade,TradingId:3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 19:37:58
INFO,"Mapping Order,OrderLinkId:d84e5dc2-6f48-4e2e-9cfb-303061694da2,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:37:58
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:37:58
INFO,"Mapping Order,OrderLinkId:54666f79-db42-4664-93e9-d475262eb7b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:38:13
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:38:13
INFO,Finding Asset by id 1,2025-01-31 19:38:24
INFO,Finding Broker by id 1,2025-01-31 19:38:24
INFO,Finding Strategy by id 1,2025-01-31 19:38:24
INFO,Finding Asset by id 3,2025-01-31 19:38:24
INFO,Finding Broker by id 2,2025-01-31 19:38:24
INFO,Finding Strategy by id 1,2025-01-31 19:38:24
INFO,Finding Strategy by id 1,2025-01-31 19:38:24
INFO,Finding Asset by id 1,2025-01-31 19:38:24
INFO,Finding Asset by id 2,2025-01-31 19:38:24
INFO,Strategy FVG registered for relation BTCUSDTBYBITFVGSession,2025-01-31 19:38:41
INFO,Strategy FVG registered for relation EURUSDCAPITALCOMFVGSession,2025-01-31 19:38:41
INFO,Register Asset to Asset Manager:BTCUSDT,2025-01-31 19:38:41
INFO,Registered asset BTCUSDT,2025-01-31 19:38:41
INFO,Strategy FVG already registered,2025-01-31 19:38:41
INFO,Strategy FVG already registered,2025-01-31 19:38:41
INFO,Register Asset to Asset Manager:USDT.D,2025-01-31 19:38:41
INFO,Registered asset USDT.D,2025-01-31 19:38:41
INFO,Strategy FVG already registered,2025-01-31 19:38:41
INFO,Strategy FVG already registered,2025-01-31 19:38:41
INFO,Register Asset to Asset Manager:EURUSD,2025-01-31 19:38:41
INFO,Registered asset EURUSD,2025-01-31 19:38:41
